Wilayah,Tahun,Ketersediaan Lemak Nabati,Ketersediaan Lemak Hewani,Ketersediaan Lemak
Nasional,2018,47.09,14.92,62.02
Nasional,2019,59.7,15.97,75.67
Nasional,2020,41.79,15.44,57.23
Nasional,2021,52.39,15.9,68.28
Nasional,2022,65.14,15.34,80.49
Nasional,2023,55.51,15.55,71.06
Nasional,2024,53.96,15.62,69.58
Provinsi,2019,63.96,7.82,71.78
Provinsi,2019,75.37,10.48,85.85
Provinsi,2019,38.87,12.15,51.02
Provinsi,2019,76.21,13.31,89.52
Provinsi,2019,85.3,9.94,95.24
Provinsi,2019,45.46,14.6,60.06
Provinsi,2019,52.79,9.76,62.55
Provinsi,2019,33.64,5.68,39.32
Provinsi,2019,71.47,11.94,83.41
Provinsi,2019,36.15,17.23,53.38
Provinsi,2019,40.54,99.85,140.39
Provinsi,2019,28.95,11.7,40.65
Provinsi,2019,55.24,6.76,62.0
Provinsi,2019,38.74,11.12,49.86
Provinsi,2019,116.12,22.68,138.8
Provinsi,2019,31.93,16.51,48.44
Provinsi,2019,43.0,48.0,91.0
Provinsi,2019,78.12,15.51,93.63
Provinsi,2019,53.25,11.21,64.46
Provinsi,2019,45.61,14.65,60.26
Provinsi,2019,46.56,20.85,67.41
Provinsi,2019,33.67,8.13,41.8
Provinsi,2019,44.75,14.31,59.06
Provinsi,2019,28.73,79.48,108.21
Provinsi,2019,48.08,13.43,61.51
Provinsi,2019,252.76,8.23,260.99
Provinsi,2019,39.86,14.11,53.97
Provinsi,2019,58.65,9.07,67.72
Provinsi,2019,48.18,9.31,57.49
Provinsi,2019,67.21,6.39,73.6
Provinsi,2019,47.86,10.0,57.86
Provinsi,2019,86.0,13.66,99.66
Provinsi,2019,91.69,9.77,101.46
Provinsi,2019,32.91,16.9,49.81
Provinsi,2019,54.06186440677966,18.21604519774011,0.0
Provinsi,2019,54.06186440677966,18.21604519774011,0.0
Provinsi,2019,54.06186440677966,18.21604519774011,0.0
Provinsi,2019,54.06186440677966,18.21604519774011,0.0
Provinsi,2020,52.11,13.75,65.86
Provinsi,2020,70.06,12.39,82.45
Provinsi,2020,52.73,14.55,67.28
Provinsi,2020,73.8,14.33,88.13
Provinsi,2020,85.29,9.42,94.71
Provinsi,2020,41.56,13.75,55.31
Provinsi,2020,52.79,9.76,62.55
Provinsi,2020,19.08,6.74,25.82
